Park,country,longitude,latitude
Bellewaerde ,Belgium,2.9457334781087754,50.84760535
Bobbejaanland,Belgium,4.908306368702636,51.2010738
Boudewijn Seapark ,Belgium,3.2148552893484634,51.18229025
Circus Bruul,Belgium,5.0416396,51.1638444
"Plopsaland,Plopsaqua De Panne",Belgium,2.598483803586547,51.0809281
Plopsa Station,Belgium,4.4220164,51.213401
Euro Space Center,Belgium,5.219422507587283,50.00834315
Plopsa Coo ,Belgium,5.8748263,50.3942942
Walibi Belgium ,Belgium,4.5902469022041315,50.6991109
Dinopark Funtana [hr],Croatia,13.607634742128546,45.169495600000005
Glavani Park,Croatia,13.9514061,45.0214176
Fun Park Biograd,Croatia,15.47936945453608,43.9318582
Sparti Rope Park,Cyprus,32.8630659,34.8829967
Aquapalace Prague,Czech Republic,14.570469143442011,50.007461500000005
Dinopark,Czech Republic,17.0218336,49.2836691
Joboland,Denmark,15.10302325133939,55.1300788
Djurs Sommerland,Denmark,10.549413617517814,56.4243184
Fårup Sommerland,Denmark,9.650050759593343,57.2682806
Legoland Billund,Denmark,9.126759387129225,55.735931050000005
Tivoli Friheden,Denmark,10.198033131753009,56.13663045
Universe,Denmark,9.810356535653737,55.04104775
BonBon-Land,Denmark,11.864467369819472,55.260719800000004
Dyrehavsbakken,Denmark,12.575262214428182,55.775700799999996
Sommerland Sjælland,Denmark,11.606941832201798,55.8962222
Tivoli Gardens,Denmark,12.569042195439536,55.6733426
Nokkakivi,Finland,26.139236476299896,62.24553025
PowerPark,Finland,22.8572271,63.2305472
Puuhamaa,Finland,24.61326014384521,60.80787065
Visulahti,Finland,27.3479365,61.7031833
"Wasalandia, Vaasa, Ostrobothnia ",Finland,21.5864799,63.0899076
Linnanmäki,Finland,24.940353709149022,60.18826129999999
Tykkimäki,Finland,26.7816934,60.8848727
Moomin World,Finland,22.004224195912013,60.472844699999996
Särkänniemi ,Finland,23.742597572627027,61.5050059
Europark,France,3.4111133963262334,43.3011238
Futuroscope,France,0.37011713319626693,46.6703888
Nigloland,France,4.61291266978854,48.26147785
OK Corral,France,5.730483120824868,43.26812885
Cigoland,France,7.418522951798208,48.2573703
Didi'Land ,France,7.751945739655703,48.9148383
Walibi Aquitaine,France,0.5806212,44.1867121
Le Pal,France,3.6292563044428947,46.5060317
Parc Fenestre,France,2.7402332,45.585735
Vulcania,France,2.9432105883443302,45.813550250000006
Cobac Parc,France,-1.8317577564583583,48.43813835
Florida Parc,France,2.4902578,48.6984411
Parc Touristique des Combes,France,4.4121594324706015,46.813054699999995
Fami Parc,France,5.846077771276596,43.117235
France Miniature,France,1.9614478511163815,48.77650455
Jardin d'Acclimatation,France,2.264883448503067,48.8780977
"Disneyland Paris, Walt Disney Studios" ,France,2.7755419640677923,48.87231975
Fraispertuis City,France,6.728712818730152,48.3239969
Walygator Parc ,France,6.156683095678895,49.22808935
Festyland,France,-0.4243304220343336,49.183287750000005
Parc du Bocasse,France,1.0789667682908104,49.602119599999995
Cité de l'espace,France,1.4927760747936238,43.586021450000004
Bagatelle,France,1.4121307,43.5798869
Dennlys Parc,France,2.155169855417731,50.57055905
Parc de Lomme,France,3.0141058511051795,50.63893315
Puy du Fou,France,-0.929695552053927,46.88874535
Mer de Sable,France,2.7181907473095785,48.25330715
Parc Astérix,France,2.5718843830054245,49.13292465
Parc Saint Paul,France,1.9821314424332617,49.42235545
Antibes Land,France,7.121291939818718,43.6127672
Azur Park,France,6.580138228268109,43.2608534
Koaland,France,7.489309800623882,43.76832635
Magic Park Land ,France,5.188002570648176,43.365254750000005
Magic World,France,4.8281772,45.7635941
OK Corral,France,5.730483120824868,43.26812885
Walibi Rhône-Alpes ,France,5.569925271579593,45.621896449999994
Spree-Park,Germany,8.41476545344926,52.8890837
Auto & Technik Museum Sinsheim,Germany,8.899063004985816,49.23868535
Erlebnispark Tripsdrill,Germany,9.053903385367027,49.035944549999996
Europa-Park,Germany,7.720728038062016,48.264986500000006
Familien Park,Germany,8.4912356,48.0755911
Funny-World,Germany,7.732580361754911,48.293070799999995
Ravensburger Spieleland,Germany,9.595824440879598,47.71210485
Schwaben Park,Germany,10.8556786,48.3585425
Steinwasen Park,Germany,7.921329334308064,47.900989949999996
Tatzmania,Germany,8.342799544681125,47.9038518
Trampoline,Germany,11.374123571153845,48.0766857
Bayern Park,Germany,12.637011537176871,48.527220299999996
Churpfalzpark,Germany,12.64242522702532,49.169737049999995
Erlebnispark Schloss Thurn,Germany,11.002973506135632,49.68646925
Fränkisches Wunderland,Germany,11.463070007277253,49.65778675
Freizeit-Land Geiselwind,Germany,10.457704428069423,49.78101875
Freizeitpark Ruhpolding,Germany,12.617723743221578,47.74070035
Legoland Deutschland,Germany,10.301736134843289,48.42414435
Märchen Erlebnispark Marquartstein,Germany,12.437019842078662,47.7646667
Playmobil FunPark,Germany,10.943432688080634,49.4306732
Rodel- und Freizeitparadies St. Englmar,Germany,12.797789030379361,49.0116496
Skyline Park,Germany,10.5910656,48.0430107
Karls Erlebnis-Dorf Elstal,Germany,12.997123797346806,52.5322398
Erlebnispark Steinau,Germany,9.486733522496394,50.296177099999994
Erlebnispark Ziegenhagen,Germany,9.764716089808047,51.37070745
Freizeitpark Lochmühle,Germany,8.58431872143143,50.28230005
Taunus Wunderland,Germany,8.110602948774519,50.11494570000001
Wild-und Freizeitpark Willingen,Germany,8.61078680358898,51.285121000000004
Zoo Frankfurt,Germany,8.70196003478323,50.1156417
Erse-Park,Germany,10.2316908,52.4726611
Heide Park,Germany,9.8709409,53.0226287
Jaderpark,Germany,8.189891591128752,53.32727985
Magic Park Verden,Germany,9.270301243459706,52.934750050000005
Nordsee Spielstadt Wangerland,Germany,7.9141567194769085,53.6663952
Rasti-Land,Germany,9.662692946960437,52.09901335
Serengeti Safaripark,Germany,9.618898829644671,52.74894085
Tier-und Freizeitpark Thüle,Germany,7.919183037302021,52.958574850000005
Wildpark Schwarze Berge,Germany,9.88411874499308,53.4461804
Rügen Park,Germany,13.4157588,54.6723919
Affen-und Vogelpark,Germany,7.690366738874277,50.9970048
Fort Fun Abenteuerland,Germany,8.435364781891392,51.3122427
Freizeitzentrum SchiederSee,Germany,9.1637157,51.9210118
Hollywood & Safaripark Stukenbrock,Germany,8.677964646435964,51.8870757
Panorama Park,Germany,8.175356179577534,51.06495295
Phantasialand,Germany,6.879255415443172,50.80050755
Potts Park,Germany,8.841206764250135,52.26321935
Spielerei Rheda-Wiedenbrück,Germany,8.299914699999999,51.84563435
Tierpark Nadermann,Germany,8.496288707897492,51.796631149999996
Wunderland Kalkar,Germany,6.326149673436269,51.7635624
Movie Park Germany ,Germany,6.974916150148403,51.62231545
Schloss Beck,Germany,6.9796073431793335,51.6139619
Eifelpark,Germany,6.611124272698426,49.96028895
Holiday Park,Germany,8.296366682845367,49.31810195
Wild-und Freizeitpark Klotten/Cochem,Germany,7.1635556600161365,50.160474449999995
Belantis,Germany,12.3146235,51.2514021
Freizeitpark Plohn ,Germany,12.397328367942137,50.56483685
Sonnenlandpark,Germany,12.9796154,50.9144579
Kulturinsel Einsiedel,Germany,15.019181178825303,51.2952258
Erlebnistierpark Memleben,Germany,11.493804248177922,51.26462735
Erlebniswelt Seilbahnen Thale,Germany,10.9581566,51.8066194
Hansa Park ,Germany,10.779609233265518,54.0747402
Tolk Schau,Germany,9.628319005394243,54.575778650000004
Märchenwald Saalburg,Germany,11.745307037773303,50.500356249999996
Allou Fun Park,Greece,23.673137040271158,37.973083700000004
Water Park Limnoupolis,Greece,23.97008877910984,35.4673573
Magic Park,Greece,22.989159295780077,40.55414
Waterland,Greece,23.0169042,40.510990199999995
Clara Lara FunPark,Ireland,-6.27267794354106,52.97391465
Fort Lucan,Ireland,-6.440805329480829,53.37051445
Funtasia,Ireland,-6.363672725758528,53.70533495
Tayto Park,Ireland,-6.461199744451017,53.5457935
Tramore Amusement Park,Ireland,-7.146092487271805,52.16026565
Safari Park,Italy,8.61479913908424,45.639851500000006
Miragica,Italy,16.55205428222366,41.2128675
Edenlandia,Italy,14.182515552969868,40.82155315
Fiabilandia,Italy,12.611654692402645,44.03308815
Mirabilandia,Italy,12.262610414407765,44.33771405
Italia in miniatura,Italy,12.516224565190157,44.091359
Luneur,Italy,12.476273005762033,41.8365223
Oasi Park,Italy,14.274285671610139,41.1049657
Rainbow Magicland,Italy,12.960385148728815,41.76496145
Zoomarine,Italy,12.456472923337653,41.63402095
Cinecittà World,Italy,12.449752058560467,41.712902299999996
Cowboyland,Italy,9.013934810255716,44.9706977
Europark Idroscalo Milano ,Italy,9.285088973362864,45.474765700000006
Minigolf Adventure,Italy,9.265406900289051,45.47096875
Leolandia,Italy,9.538641177914393,45.60616675
Volandia,Italy,8.70715889496492,45.63030620000001
Cavallino Matto,Italy,10.547678011266747,43.181673599999996
Gardaland,Italy,10.713376684845674,45.4560933
Movieland Studios ,Italy,10.721641887023047,45.4771158
Playplace,Italy,12.2357399,46.1580159
Parc Merveilleux,Luxembourg,6.120125509823297,49.51070955
Popeye Village,Malta,14.340684027957014,35.9608373
Splash and Fun,Malta,14.458151146618114,35.93818885
Plopsa Indoor Coevorden,Netherlands,6.7690487,52.6800422
Sprookjeshof,Netherlands,4.4671946,51.6393633
Walibi Holland,Netherlands,5.764059294845472,52.44101995
Duinen Zathe,Netherlands,6.335309077048502,52.9571972
Amusementspark Tivoli,Netherlands,5.924710890398558,51.81727855
Het Land van Jan Klaassen,Netherlands,6.261892878500334,51.93172635
Familiepark Nienoord,Netherlands,6.396578146152153,53.1696759
Wonderwereld,Netherlands,7.077912991002646,52.870443
Attractiepark Toverland,Netherlands,5.981741219897721,51.39734905
De Valkenier,Netherlands,4.5039094,51.8886641
Sprookjesbos Valkenburg,Netherlands,5.833479296912953,50.857157099999995
Kinderstad Heerlen,Netherlands,5.961258704388302,50.89360335
Efteling,Netherlands,5.046734665558831,51.64995835
Mini Efteling,Netherlands,5.1900354,51.6934399
Speelland,Netherlands,5.1224909,51.5290374
DippieDoe,Netherlands,5.4351883344349385,51.49986125
Amsterdam Dungeon,Netherlands,4.8921484,52.3701573
Oud Valkeveen,Netherlands,5.191773481608479,52.30567225
Sprookjeswonderland [nl],Netherlands,5.289525588102059,52.71176975
Attractiepark Slagharen,Netherlands,6.562741257458841,52.6233326
Avonturenpark Hellendoorn,Netherlands,6.435898149215822,52.3896948
De Waarbeek,Netherlands,6.8088673,52.2442214
Duinrell,Netherlands,4.38031082739525,52.1475159
Madurodam,Netherlands,4.297383653109366,52.099536799999996
Speelstad Rotterdam,Netherlands,4.473753600375949,51.8944399
Deltapark Neeltje Jans,Netherlands,3.7157872089342616,51.6391287
Mini Mundi,Netherlands,3.6319509,51.4804105
Bø Sommarland,Norway,9.074976793807235,59.44902155
Hunderfossen Familiepark,Norway,10.435217614943117,61.227213899999995
Kongeparken,Norway,5.84399293538417,58.77845765
TusenFryd,Norway,10.77577596881919,59.7469772
Energylandia,Poland,19.407163046482857,49.99959105
Inwałd Park,Poland,19.408692674770993,49.8715528
Rabkoland,Poland,19.948272813933656,49.6081056
Zatorland,Poland,19.44347453438659,49.989650850000004
Holiday Park,Poland,20.93405017972061,52.304227299999994
Majaland Kownaty,Poland,15.083153277081529,52.3502407
Majaland Kownaty,Poland,15.083153277081529,52.3502407
Park of Poland,Poland,-75.0561706,43.2260474
Farma Iluzji,Poland,21.692816579797096,51.65604775
Lunapark Krynica,Poland,19.443851274837442,54.3784196
Lunapark Sowiński,Poland,18.411191319710163,54.79275835
Kaszubski Park Miniatur,Poland,18.043631891263203,54.39929375
Pomerania Fun Park,Poland,15.758425772179375,54.11991265
Esplanada,Poland,16.3911111,50.3361111
Legendia ,Poland,18.9910671,50.2735471
Ogrodzieniec Park,Poland,19.493913905120483,50.4610997
Aqualand,Portugal,-8.364434462516982,37.13606615
Aquashow [pt],Portugal,-8.072471825611427,37.094354100000004
Naturwaterpark,Portugal,-7.652393901618801,41.255976399999994
Norpark,Portugal,-9.080115239310384,39.6124791
Parque Aquático de Amarante,Portugal,-8.105376606249184,41.24889245
Portugal dos Pequenitos,Portugal,-8.434090213940117,40.20162945
Scorpio,Portugal,-8.319685605923977,41.4309463
Zoomarine [pt],Portugal,-8.31546197152474,37.1247659
Parc Aventura Brasov,Romania,25.63627497305313,45.61241375
Luna Parc,Romania,28.6326921,44.2178364
Orǎṣelul Copiilor,Romania,28.031846961044188,45.4254166
Satul de Vacanţǎ,Romania,28.630184628005697,44.2160682
Krasnodar Park,Russia,39.03211018746818,45.04181345
Gorky Park,Russia,37.6002407440844,55.72709395
Sokolniki Park,Russia,37.671629374848195,55.79952915
VDNKh,Russia,37.6414259,55.8211135
Gagarin Park,Russia,30.335178398877993,59.8668879
Park Alisa,Russia,91.40221924893228,53.70035875
DinoPark,Slovakia,21.2081674,48.7897254
Isla Mágica,Spain,-5.999809767934447,37.40775065
Dinópolis,Spain,-1.0809133931702237,40.33347965
Parque de Atracciones de Zaragoza,Spain,-0.899460229846732,41.6199721
Parque de Atracciones Monte Igueldo,Spain,-2.009934696673539,43.32104835
Puy du Fou España,Spain,-4.090996,39.8453179
Ferrari Land,Spain,1.151477382197319,41.08492115
PortAventura Park,Spain,1.1535984640239105,41.0884079
Parque de Atracciones de Madrid,Spain,-3.7499124186948776,40.4116032
Parque Warner Madrid,Spain,-3.592899099524332,40.22944485
Sendaviva,Spain,-1.5732573255197004,42.19265505
Pola Park,Spain,-0.5751149221609312,38.1966554
Terra Mítica,Spain,-0.16143262507341008,38.559615449999995
Furuviksparken,Sweden,17.340026193702833,60.65408045
Gröna Lund,Sweden,18.095817012868217,59.323293500000005
High Chaparral Theme Park,Sweden,13.833721760582948,57.26305455
Kneippbyn,Sweden,18.2400627342954,57.6091915
Liseberg,Sweden,11.993695420809985,57.6945173
Parken Zoo,Sweden,16.480043750693596,59.3711356
Skara Sommarland,Sweden,13.550228458735535,58.4086949
Connyland,Switzerland,9.0595078,47.6148552
Jungfrau Park,Switzerland,7.8782383,46.6818045
Swiss Vapeur Parc,Switzerland,6.857256543753193,46.3847269
Vialand,Turkey,28.974899,41.0083409
Masal Park,Turkey,35.291878894178126,37.04016525
Parkantep Harikalar Diyarı,Turkey,37.3448668093731,37.06118125
Ancient Kyiv,Ukraine,30.51708328388631,50.4638662
"Weeki Wachee Springs",America,-82.5745752,28.516988050000002
"Gatorland",America,-81.4018993708782,28.3549925
"ZooTampa at Lowry Park",America,-82.46993016080943,28.015010500000002
"Kennedy Space Center Visitor Complex",America,-80.68185579912377,28.524279550000003
"Magic Kingdom",America,-81.58171584246976,28.4190753
"SeaWorld Orlando",America,-81.46066147079551,28.41042675
"Epcot",America,-81.54904536199228,28.372363800000002
"Disney's Hollywood Studios",America,-81.5606174711873,28.3572521
"Universal Studios Florida",America,-81.46970683853766,28.4772482
"Fun Spot America - Kissimmee",America,-81.51466808931889,28.330376649999998
"Disney's Animal Kingdom",America,-81.59148411368088,28.36076735
"Universal's Islands of Adventure",America,-81.47121064527349,28.471878949999997
"Celebration Station",America,-79.89319804212529,36.0583551
"Daytona Lagoon",America,-81.01160250834076,29.22995095
"Fun Spot America - Orlando",America,-81.45589185113934,28.46678095
"Legoland Florida",America,-81.69196853033021,27.992062699999998
"Universal's Epic Universe",America,-81.44524240886506,28.44076845